,Date,A5G.IR,ABN.AS,ACA.PA,ALPHA.AT,BAMI.MI,BARC.L,BBVA,BCP.LS,BIRG.IR,BKT.MC,BMPS.MI,BNP.PA,BPE.MI,CABK.MC,CBK.DE,DANSKE.CO,DBK.DE,DNB.OL,EBO.DE,ETE.AT,EUROB.AT,GLE.PA,INGA.AS,ISP.MI,JYSK.CO,KBC.BR,MB.MI,NDA-SE.ST,OTP.BD,PEO.WA,PKO.WA,RAW.DE,SAB.MC,SAN.MC,SEB-A.ST,SHB-A.ST,SWED-A.ST,SYDB.CO,TPEIR.AT,UCG.MI,UNI.MC,cor,cor_lw,eig,banks_index,spread,index,spread_ch
2,2000-01-10,0.022831415085615703,,,0.005640468090481798,0.005132568317054664,0.013690081781315033,-0.008888373623021528,0.02411864534706587,,0.015996204939088488,-0.041131129815979106,0.005806892419754961,0.019780269962530905,,-0.002188663875602237,,-0.025764918893715905,0.013201461007778637,,-0.0012895097451484094,-0.009523816126285278,-0.0045870135955145,0.001192046116773593,-0.015543959296976162,,0.05115378835615059,-0.013655311745889187,0.0526315613327486,,0.022292851542965453,,,-0.005404866189831381,-0.008834153065488737,0.006023780625196151,0.050691125555468064,0.03643723477874783,0.0,-0.012769709171187249,0.004395810650346776,,,,,,5.63,,
7,2000-01-17,-0.01181790432369867,,,0.008491596824851788,0.020671672792878404,-0.0464513969388306,0.0,0.0,,0.08790280461935951,-0.02380942453140822,-0.008187324136662344,0.00052941684205976,,0.00549447802728964,,0.026515829814952374,0.0,,0.008676222431623692,0.0022458096782040915,-0.010280166784425115,-0.007017757092222077,-0.029332175604892985,,-0.02200020962378957,-0.025559301389033395,-0.014736933560369758,,0.010186662794886114,,,-0.005435003873455635,-0.02653227223145227,0.005780263127384,0.028571602424827036,-0.0038462628578589397,0.003355458513949028,0.02961280117383791,-0.007075403064022101,,,,,-0.015894497394108753,5.35,,-0.04973357015985791
12,2000-01-24,-0.03748718398674511,,,-0.012536630676838079,-0.017241258972981344,-0.0027799577194653757,0.005025087049651322,0.006944278353230082,,0.0014898420466236129,-0.011204433947304082,0.0024814243714403883,0.0339961109460698,,-0.016939742943651637,,-0.023148299275757567,0.006472640758650172,,-0.0013412548985033412,0.0054909808385006365,0.014091518653708945,-0.030937052387294717,-0.035616156383131314,,0.001956386496840379,-0.01674121277732976,-0.016064272668646407,,-0.032786745338617806,,,0.028089949947487813,0.011010430593265674,-0.005952518413705032,-0.009615398247139195,-0.03585712494906379,0.0,-0.0009400800398093878,-0.009851960945840843,,,,,-0.03461392164321031,5.24,,-0.020560747663551315
17,2000-01-31,-0.008307362578038768,,,-0.019031280641454984,-0.03846133568021626,-0.008621176837220856,-0.019047534874235383,-0.012068790365486026,,-0.07079649519349696,0.01194016980498458,-0.019300544330477676,-0.05882341546567493,,-0.018265047315414673,,-0.01960785207311666,-0.016501461080814295,,-0.009386224093845486,-0.006892021780018243,0.0004866618197163497,-0.03352671251997119,-0.020770638098007166,,-0.036306610058966626,-0.027186569759514834,-0.004065028566480278,,-0.021666500609213157,,,0.0,0.00549172049660962,-0.024999817550081294,-0.004830924756286437,-0.036884768165602266,0.007272677837010022,-0.012339838061408925,0.022613025306163603,,,,,-0.021519064072255678,5.36,,0.022900763358778553
22,2000-02-07,-0.01444430310524858,,,0.048406601304575636,0.031674192041575955,0.021629478731878482,-0.009615492011138094,-0.005281677711534094,,-0.04504537891063087,-0.003002912361762866,-0.0275345471795847,-0.010103232189633826,,-0.02357933478394547,,-0.008444050247004897,-0.0033558636313528734,,0.02328548363926708,0.0,-0.0064805979787957435,0.0023886396395351728,-0.05459729261733093,,-0.004719862984707612,-0.021505449234386464,-0.008000295051934558,,-0.024793352472896046,,,0.0,0.03071035867984251,0.0,0.009852369405194406,0.00418408400921777,0.010637920583840721,-0.0013842880432611837,-0.00259048056283806,,,,,-0.011832486680708687,5.3,,-0.011194029850746356
27,2000-02-14,0.008045888809071089,,,0.02248468365315115,-0.027678597368785973,-0.025833217841215728,0.09292082119104372,-0.003552427863818264,,-0.043478021388049126,-0.011869233715781857,-0.00510211175190789,-0.051550080172878765,,0.016304266116584865,,-0.013410776915940836,-0.013288934228700255,,-0.006538025846707818,-0.0056663729423975795,-0.017137296014474,-0.011846165695394206,-0.06793491418179798,,0.018181650151963824,0.010362673072928263,0.029106144679017065,,-0.019999816719366348,,,0.0,0.04833829825704994,-0.01190458840988684,0.0,-0.01632653088147451,0.003521002762769676,0.0,-0.0424998062960229,,,,,0.008369381230016959,5.27,,-0.005660377358490565
32,2000-02-21,-0.030562390730373923,,,-0.015110130334850647,-0.004237323023396189,-0.026307404888292307,0.0,-0.009009143392541219,,0.009775121048505087,0.009145984572305421,-0.023980508460034633,0.0010648250970084483,,-0.020986230995644783,,0.05797625178687049,0.0,,-0.018822650648548156,-0.009488241195886649,-0.004901867549067407,-0.02514626771571682,-0.0222853647328195,,-0.025301150415504625,-0.027718247709710875,-0.029999914155148355,,-0.015025000490703544,,,-0.0054640303371239485,0.01756015216070428,0.05625025160432329,0.02030481420606378,0.0474136712030786,0.0,-0.009515381524859534,0.021333490336775007,,,,,0.018340638502906348,5.26,,-0.001897533206831059
37,2000-02-28,0.009816049545307903,,,-0.02720556437795063,0.10214611272838492,-0.006280553287308588,-0.016461598989587656,0.0018449146411496642,,-0.06566732577055345,-0.023668614174764513,-0.01336608116390603,-0.030927419807901813,,-0.01955746143300141,,-0.01534480842217012,0.006666737154304325,,-0.021084319093136128,-0.01956666049775102,0.009309288792911374,0.018867936228166293,-0.011175229994668356,,-0.03518093815982659,-0.008928897249438128,0.0021553036991750485,,-0.0049996617107452845,,,0.010869241389907192,-0.005519670915640873,0.005747476657505635,-0.009756247253247086,0.0,-0.017543643530550934,-0.014375551312191703,-0.021739157696660016,,,,,-0.001159986568576521,5.27,,0.001901140684410496
42,2000-03-06,0.018578318849721942,,,-0.01846738730613884,-0.054751433575137676,0.0026487551865075343,-0.025000118368783464,0.0,,-0.013513444349506187,0.03448274916734717,0.04055621313237956,-0.0105219449888877,,-0.019312452617405773,,-0.0010340716052679166,-0.0032678887741415252,,-0.003757100546129988,-0.02158034595083036,0.008134123520140202,-0.010443338384277578,0.16585440356754533,,-0.003369795451493407,0.03605508452202155,-0.01965066578345842,,-0.023450918607396898,,,0.0,-0.003656295721526037,-0.021858123142117658,0.0,0.009174050768739672,0.008596629041626613,-0.02657192971621991,0.10126583290356339,,,,,0.027596956083249413,5.29,,0.00379506641366234
47,2000-03-13,0.0,,,0.0,-0.0068965040476174355,-0.0020161046258310167,-0.025531614018543314,0.0,,0.0,-0.02857138216786259,-0.01997677137881826,-0.021737445154635937,,-0.0546074527738063,,0.0,0.0,,0.0,0.331990173912452,-0.02749999181546059,-0.020310808429256477,-0.059524130841765555,,-0.02506983032502408,-0.021738741605710543,0.0,,0.0,,,0.0,-0.0008931731606346416,0.0,-0.035353306836018006,-0.035714427427897655,-0.0036100812741154398,0.026182160659377063,-0.051344476692395835,,,,,-0.039317154413514244,5.23,,-0.011342155009451682
