,Date,ALLY,AXP,BAC,BCS,BK,BMO,C,CFG,COF,DB,DFS,FITB,GS,HBAN,HSBC,JPM,KEY,MS,MTB,MUFG,NTRS,Open,PNC,RF,SAN,SCHW,STT,TD,TFC,UBS,cor,cor_lw,eig,banks_index,spread,index,spread_ch
2,2000-01-10,,0.013940120737330863,-0.03465996206542521,0.0006042491773809999,-0.04455479164215237,-0.013671847826389416,-0.0034717855551613663,,-0.01236330855981238,-0.02272720529725869,,-0.02626683065062252,0.021952806967259875,-0.04237286003209084,0.0009480668012535887,-0.017182496714494122,-0.03206912480604551,0.035371001019135484,0.000614236230730647,,-0.02506256405336671,-0.009355288380461957,-0.03483284496349481,-0.04347833105621923,-0.026737833353654206,0.0032153929376523838,-0.00604517435446994,-0.010229783967923733,-0.025700935401618885,,,,,,1.18,,
11,2000-01-24,,0.0020595666875651286,-0.02462348313078555,0.0057954912161535255,-0.003437080418775995,-0.0124477510446096,-0.02214856616805816,,-0.006041851200446091,-0.015105965140878697,,-0.04002048954979498,-0.04595206165739607,-0.016768631765068043,0.00740015401556926,0.0008572133833000262,-0.043859524450959086,-0.03396191507598312,-0.016542229211014448,,-0.029512330178924517,0.007743088367862527,-0.009971556963714101,-0.014904969392576684,0.0,-0.012986552832311982,-0.022745445980773216,-0.041450744472697365,-0.028037253481352997,,,,,-0.02165795163625628,1.19,-7.630082748710798e-05,0.008474576271186418
16,2000-01-31,,0.04107457616347432,0.05874269657199571,-0.020000346649565293,0.07615955012762488,-0.0018761570930114768,0.01559076220701483,,0.02340159973255096,-0.016286736060078688,,0.05461728404969235,0.053161064815869796,0.09523897661326086,0.01874963909150451,0.05215995470443091,0.02439000653594059,0.04639623823809447,0.011069763336063465,,0.11805554728507728,0.0276691025240412,0.04632245752511688,0.06593363550798514,0.0,0.0,0.018253161959565167,-0.007370406042619293,0.018099798380281085,,,,,0.010788045944740254,1.22,-0.05633564966219695,0.025210084033613578
21,2000-02-07,,0.006194887626342238,-0.012261809165001636,0.013736214572782401,0.008237505380713994,0.001964468731961766,-0.006849102912955929,,-0.015518522584860639,-0.012232273306599484,,-0.006024986183635117,0.012546203787660914,-0.017647363535522098,-0.006521878887104093,0.005351863942657742,-0.0062108400692629795,-0.008563352016057624,-0.007402753399168072,,0.018259697528513863,0.026298369127889965,-0.009817715978446495,-0.007978616553775741,0.042682623171989675,0.06754543726064366,-0.009280589861490829,-0.010075082349747744,-0.045454340923942516,,,,,-0.0030609752216215202,1.18,0.047207651543904605,-0.032786885245901676
26,2000-02-14,,0.003256897514758883,-0.020746932137745366,0.01304085011237155,-0.02122217016707173,0.002032703376003253,0.0,,0.016728256895008453,-0.008928486323008022,,-0.03383672473102062,0.01615316147011092,-0.012427199752809148,0.0,-0.043116649266486395,-0.02675589727177674,-0.011235611191297568,0.0,,-0.012870711998745232,0.0009082688932243732,-0.011868847000664484,-0.01587291430788329,0.025000177910008192,-0.02083309466769323,0.0023870106904297916,0.013054242793282045,-0.014777983827523045,,,,,-0.028693305316943363,1.21,-0.02615191286512275,0.025423728813559254
35,2000-02-28,,0.06312597242793494,0.04107647895532751,-0.03403135849990091,0.053030323405085955,0.020575909169444184,0.020833307335894835,,0.06502606995634763,-0.01291252142985766,,0.05236953246911469,-0.014005031884922414,0.024096124740599967,0.018398678856473616,0.02718308631930544,0.0,-0.009839229794334825,-0.0016980124329973867,,0.03703704131429486,0.003995324748698237,0.038205862149874426,0.04615383008459739,-0.02873519713655448,-0.014851755806640776,0.027002984201505376,0.024875707471352815,0.027548497680236927,,,,,-0.0864547999959876,1.26,-0.038756567531912256,0.04132231404958686
40,2000-03-06,,-0.03183537027628147,-0.01111094540918478,-0.002583967395330511,0.021442781303659952,-0.014228121108317393,-0.02339198862062486,,-0.02306347506428319,-0.017699485818223448,,-0.049555440657917726,0.011585679266581161,-0.011057809869248869,-0.019737363162669164,0.028505588870564535,-0.0035839843131606486,0.021310192650751736,0.013514234914374645,,-0.008771827884610284,0.0013722685913102328,-0.02086715919448001,0.0032356753305864405,-0.023529581033449043,-0.0065102303388356875,-0.023396539770482505,-0.03960439925755599,-0.03208571051874576,,0.3544599046797323,0.3215660755879992,0.3724165573997726,0.047371793868402845,1.32,0.056856407441806756,0.04761904761904767
45,2000-03-13,,-0.0009857198713880688,0.007288676216232082,-0.06310652237251058,0.045364258383673084,0.0020661215081398954,0.019133011676462308,,0.0254670853108534,-0.04452056427653783,,0.002725012797444748,-0.016704024110798743,0.0,-0.03773567175969761,0.017473863046710614,0.011673262528590467,-0.04761931282122145,0.020401067356675018,,0.043011040169931736,0.01766850686896171,-0.008346934998334499,0.016392918056834738,-0.011560856620968951,-0.040094200277701275,-0.0046214776156628945,0.03655256862784184,0.013850404906624592,,0.3561041729110697,0.29687964434458175,0.34752694033656406,-0.06452552808634882,1.33,-0.010005958980488505,0.007575757575757569
50,2000-03-20,,-0.011314434777959015,-0.007500755422978234,0.018617136364622144,-0.04200327972677409,-0.009652617236304728,-0.014254435727328874,,-0.09276963325253318,-0.015544009052287588,,-0.056016449083450714,-0.026287603188745345,-0.04970777321149433,0.024335681450440516,-0.04876337758451088,-0.03322280842360836,-0.013361301267182824,-0.025858497325470076,,-0.051333162282579115,0.00683947314152944,-0.037195867668831095,-0.03591214532825182,0.016666863205567095,-0.02262427784441179,-0.017365639083077866,0.02266979207951425,-0.02336394150190635,,0.4177754903972777,0.4038611424784771,0.47723388442748566,0.1822386627165129,1.34,0.04974662711261835,0.007518796992481258
55,2000-03-27,,-0.032931798725745254,-0.00915376580589855,0.017427942436469612,-0.03379429350472296,-0.02673818704719111,-0.008255923745825622,,-0.012482733636342003,-0.02636190476190481,,-0.01970463862346039,-0.07676465046991043,-0.02366803009156726,0.0020407095497874117,-0.015594507911473987,-0.022875772396299676,-0.06066513848082722,-0.008356768170055928,,-0.06610840221954939,0.011748095628120181,-0.03724135922869798,-0.03296709738913495,-0.02777805327932703,-0.0769227550835303,-0.016689236737072677,-0.021077443358832104,-0.030837109160071874,,0.4006864934701656,0.3868102995399047,0.4742585326588418,0.06297006167249486,1.35,0.04301214193154945,0.00746268656716409
